,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,mean_test_score,rank_test_score
0,894,2,7,sqrt,11,False,0.8106749057060133,1
1,261,50,2,log2,13,False,0.8050097327729944,2
2,894,50,2,log2,12,False,0.8044337871716066,3
3,788,28,12,log2,20,False,0.7996963184089757,4
4,50,7,12,sqrt,14,False,0.7986148896786641,5
5,50,2,7,sqrt,13,True,0.7983617307892038,6
6,577,34,12,log2,20,False,0.7972105099273966,7
7,788,7,12,log2,11,False,0.7951347901679223,8
8,683,28,7,log2,9,False,0.7936364476935558,9
9,788,23,18,sqrt,20,False,0.7861905610048888,10
10,1000,7,12,log2,12,True,0.7821519839816456,11
11,261,50,7,sqrt,18,True,0.7803655609188122,12
12,50,2,7,log2,8,True,0.7758204087379815,13
13,683,44,23,log2,16,False,0.7751090564970567,14
14,472,39,23,log2,12,False,0.7742577080531342,15
15,366,23,12,log2,9,True,0.773795717989534,16
16,577,50,23,sqrt,20,False,0.7734980189728713,17
17,577,7,2,1,17,True,0.7696387246994746,18
18,261,12,18,sqrt,8,False,0.7662674031430026,19
19,366,44,18,log2,20,True,0.7618293030920199,20
20,683,2,28,log2,9,False,0.7573548339123368,21
21,472,23,18,log2,7,False,0.755902317856763,22
22,366,7,34,log2,14,False,0.7553790484736366,23
23,1000,34,34,log2,13,False,0.7537583263322859,24
24,894,2,34,sqrt,11,False,0.7523603798446673,25
25,788,39,34,log2,10,False,0.7512856312744539,26
26,894,50,23,log2,12,True,0.7485952980471621,27
27,366,12,39,log2,17,False,0.7458719460911492,28
28,894,50,18,sqrt,8,True,0.7457954019514158,29
29,788,2,23,log2,9,True,0.7456028104553244,30
30,472,7,34,sqrt,8,False,0.7429394471277878,31
31,577,50,7,sqrt,6,False,0.7412526374635169,32
32,472,39,28,log2,19,True,0.7410444318616576,33
33,472,2,44,log2,17,False,0.7401779642630631,34
34,894,28,28,sqrt,10,True,0.7393752706778699,35
35,366,12,39,sqrt,8,False,0.7380594907934311,36
36,366,44,28,log2,9,True,0.7360073736336341,37
37,472,2,50,log2,15,False,0.7346644778150234,38
38,683,2,50,log2,15,False,0.734565858432969,39
39,366,50,50,log2,13,False,0.7339310569799267,40
40,788,50,50,sqrt,13,False,0.7334260497185751,41
41,50,39,50,log2,13,False,0.7319895913964937,42
42,683,18,50,sqrt,10,False,0.7316633531346738,43
43,577,2,34,sqrt,11,True,0.7311668648477304,44
44,366,44,44,log2,7,False,0.7226687913220579,45
45,788,39,39,sqrt,11,True,0.7226409376174652,46
46,788,39,7,1,14,False,0.7202160688635333,47
47,261,12,34,log2,7,True,0.7177575974628176,48
48,577,50,39,log2,8,True,0.7174391318356946,49
49,1000,2,34,log2,7,True,0.7156125414735884,50
50,366,39,44,log2,12,True,0.7150652152775941,51
51,788,28,50,sqrt,15,True,0.7091983845629826,52
52,50,23,39,sqrt,7,True,0.7085826555587605,53
53,50,39,50,log2,20,True,0.7062665323300136,54
54,472,50,12,1,13,False,0.6941862395303451,55
55,1000,18,7,1,8,False,0.6902485431940949,56
56,894,44,28,log2,5,True,0.6889152535401286,57
57,155,28,12,1,20,True,0.6796324178397045,58
58,155,18,12,1,15,True,0.6783012976858923,59
59,261,2,44,sqrt,5,True,0.674943982216977,60
60,50,34,44,sqrt,5,True,0.6730313848590361,61
61,894,44,23,1,10,False,0.6540997066632606,62
62,366,2,39,sqrt,4,True,0.6504293156462506,63
63,788,7,44,log2,4,True,0.6463024956763396,64
64,683,18,28,1,11,False,0.6413545326599884,65
65,472,34,7,1,6,False,0.6367830979107435,66
66,577,2,34,1,20,False,0.6326172421550019,67
67,366,28,34,1,16,False,0.6313829986419991,68
68,155,12,28,1,9,False,0.6307465445237971,69
69,683,39,34,1,11,False,0.6303613672630127,70
70,472,23,39,1,18,False,0.6193322361521963,71
71,1000,2,28,1,10,True,0.6103001029025271,72
72,894,34,44,1,9,False,0.6061754491550878,73
73,683,44,12,log2,3,True,0.6057064452860935,74
74,683,7,34,1,19,True,0.5995540761752055,75
75,788,7,34,1,19,True,0.5994961034956608,76
76,1000,39,34,1,17,True,0.5989284055263985,77
77,155,23,39,1,20,True,0.5876852698781108,78
78,577,2,39,1,17,True,0.5876719616619271,79
79,261,12,18,1,5,False,0.5825113036727732,80
80,50,34,34,1,8,True,0.5822924989248771,81
81,50,7,44,1,14,True,0.5667479174684201,82
82,1000,18,50,1,10,True,0.5484444956200055,83
83,155,12,44,1,5,True,0.5318684632022656,84
84,894,44,39,1,4,False,0.5132125711325877,85
85,261,23,34,1,4,False,0.5130717698598576,86
86,788,2,44,1,4,False,0.5081800869572919,87
87,472,44,50,log2,2,True,0.5042643420971246,88
88,577,44,34,1,4,True,0.5020463161238987,89
89,1000,7,34,log2,2,False,0.5016401364860573,90
90,577,2,12,1,3,True,0.46125298427505484,91
91,366,7,2,1,3,False,0.45888079889986316,92
92,1000,44,39,1,3,False,0.45139011692737596,93
93,366,39,28,1,3,True,0.4442122030474465,94
94,1000,7,23,log2,1,True,0.33857106435818923,95
95,155,34,12,sqrt,1,False,0.3382050981707238,96
96,155,28,50,log2,1,False,0.3382050981707237,97
97,683,18,18,sqrt,1,False,0.3373702826318315,98
98,894,28,7,sqrt,1,False,0.3365847681963145,99
99,366,44,44,1,1,True,0.1940444982690113,100
